phone,name,business,city,batch,send_date,send_time,responded,outcome
+447379055783,JC Arborists Harrogate Tree Surgeons & Tree Care,JC Arborists Harrogate Tree Surgeons & Tree Care,Harrogate,Yellow_Batch_2,,,,
+447584634625,Elemental Tree and garden Services - Tree Surgeon Thornaby,Elemental Tree and garden Services - Tree Surgeon Thornaby,Stockton-on-Tees,Yellow_Batch_2,,,,
+447703299422,Castle Tree Surgeons,Castle Tree Surgeons,York,Yellow_Batch_2,,,,
+447939471703,North East Tree Surgery,North East Tree Surgery,Newcastle upon Tyne,Yellow_Batch_2,,,,
+447584764299,Lochaber Tree Solutions,Lochaber Tree Solutions,Fort William,Yellow_Batch_2,,,,
+447476544766,tree surgeon stockton,tree surgeon stockton,Stockton-on-Tees,Yellow_Batch_2,,,,
+447789462512,Tree Engineers,Tree Engineers,Beverley,Yellow_Batch_2,,,,
+441423711459,Arbortech Tree Specialists Ltd,Arbortech Tree Specialists Ltd,Harrogate,Yellow_Batch_2,,,,
+441796472933,Tree Services,Tree Services,Pitlochry,Yellow_Batch_2,,,,
+447519057054,Granite City Tree Surgeons Ltd,Granite City Tree Surgeons Ltd,Aberdeen,Yellow_Batch_2,,,,
+447827295973,Hitchen Landscaping & Tree Care,Hitchen Landscaping & Tree Care,Montrose,Yellow_Batch_2,,,,
+447791623469,Cortis Land & Tree Management,Cortis Land & Tree Management,Dingwall,Yellow_Batch_2,,,,
+447543811060,The Bigger Plant Company Ltd,The Bigger Plant Company Ltd,Wirral,Yellow_Batch_2,,,,
+447912466509,M P Tree Care & Management,M P Tree Care & Management,Warrington,Yellow_Batch_2,,,,
+447522959385,The Tree Fellas - Professional Tree Surgery & Landscaping,The Tree Fellas - Professional Tree Surgery & Landscaping,Neston,Yellow_Batch_2,,,,
+441513517666,Arb Line Ltd,Arb Line Ltd,Wirral,Yellow_Batch_2,,,,
+447515354824,Stump and Flail,Stump and Flail,Wirral,Yellow_Batch_2,,,,
+447707967738,Alexander Carson Tree And Garden Services,Alexander Carson Tree And Garden Services,Stockton-on-Tees,Yellow_Batch_2,,,,
