phone,name,business,city,batch,send_date,send_time,responded,outcome
+447910060331,JD Forestry Ltd,JD Forestry Ltd,Batley,Green_Batch_5,,,,
+441132520769,RD Forestry,RD Forestry,Leeds,Green_Batch_5,,,,
+447538787156,STS Tree Contractors,STS Tree Contractors,Pudsey,Green_Batch_5,,,,
+447831641833,Pickles Michael,Pickles Michael,Leeds,Green_Batch_5,,,,
+447961824036,Ossett Tree Services,Ossett Tree Services,Ossett,Green_Batch_5,,,,
+447914040005,DW Tree Co.,DW Tree Co.,Leeds,Green_Batch_5,,,,
+441133930178,A M Tree Care,A M Tree Care,Leeds,Green_Batch_5,,,,
+447816501488,Huw Forestry Tree Care and Woodland Management,Huw Forestry Tree Care and Woodland Management,Selby,Green_Batch_5,,,,
+447983874706,Vista Arb Ltd,Vista Arb Ltd,Otley,Green_Batch_5,,,,
+447774983006,NS Whitaker Tree & Paving Services,NS Whitaker Tree & Paving Services,Leeds,Green_Batch_5,,,,
+447952740745,Aandbtreeservicesleeds,Aandbtreeservicesleeds,Leeds,Green_Batch_5,,,,
+447718780524,Jones Logging and Tree Surgery,Jones Logging and Tree Surgery,Kettering,Green_Batch_5,,,,
+442033221090,Richmond Tree Surgeons,Richmond Tree Surgeons,Kingston upon Thames,Green_Batch_5,,,,
+447921678587,Green Solutions Tree Surgeons,Green Solutions Tree Surgeons,Esher,Green_Batch_5,,,,
+447852109269,Eve Tree Care,Eve Tree Care,Epsom,Green_Batch_5,,,,
+447398311986,Rushden & Higham tree care,Rushden & Higham tree care,Rushden,Green_Batch_5,,,,
+447884447707,Burleigh Tree and Hedge Sevices,Burleigh Tree and Hedge Sevices,Richmond,Green_Batch_5,,,,
+447497043493,Treenius,Treenius,London,Green_Batch_5,,,,
+447383821714,Woodlands tree service,Woodlands tree service,Leeds,Green_Batch_5,,,,
+447804289051,LDT Tree Services,LDT Tree Services,Leeds,Green_Batch_5,,,,
+447933675812,Bowman Arboriculture Ltd,Bowman Arboriculture Ltd,Leeds,Green_Batch_5,,,,
+447504835551,Tidy Trees,Tidy Trees,Nottingham,Green_Batch_5,,,,
+447779719402,UK Trework Limited,UK Trework Limited,Leicester,Green_Batch_5,,,,
+447515695202,All Tree & Garden Care Ltd,All Tree & Garden Care Ltd,London,Green_Batch_5,,,,
+447862139288,G Tree Surgeons,G Tree Surgeons,Clydebank,Green_Batch_5,,,,
+447480536128,Tree Surgeons,Tree Surgeons,Erskine,Green_Batch_5,,,,
+447904715042,Arborcare Tree Surgeons,Arborcare Tree Surgeons,Paisley,Green_Batch_5,,,,
+4480000996169,Scotia ARB Ltd,Scotia ARB Ltd,Kilmarnock,Green_Batch_5,,,,
+447498867031,Cathcart Tree Surgeons,Cathcart Tree Surgeons,Glasgow,Green_Batch_5,,,,
+447884434257,Argyll Forestry Services,Argyll Forestry Services,Dunoon,Green_Batch_5,,,,
